timestamp,listing_id,mae,n_samples
2026-03-31 14:35:34,fe339806-9e6e-4865-8987-4e695ea201b0,46.4633,15
2026-03-31 19:20:13,fe339806-9e6e-4865-8987-4e695ea201b0,87.2995,379
2026-03-31 20:22:23,fe339806-9e6e-4865-8987-4e695ea201b0,87.2995,0.2005,0.7819,379
2026-03-31 20:31:03,fe339806-9e6e-4865-8987-4e695ea201b0,90.1698,0.2045,0.7656,379
2026-03-31 20:41:10,fe339806-9e6e-4865-8987-4e695ea201b0,88.0515,0.2,0.7725,379
2026-03-31 20:46:11,fe339806-9e6e-4865-8987-4e695ea201b0,98.6224,0.1994,0.6832,379
2026-03-31 20:49:46,fe339806-9e6e-4865-8987-4e695ea201b0,94.7329,0.1989,0.7361,379
2026-03-31 20:53:13,fe339806-9e6e-4865-8987-4e695ea201b0,94.7329,0.1989,0.7361,379
2026-03-31 21:01:38,fe339806-9e6e-4865-8987-4e695ea201b0,99.1046,0.206,0.7022,379
2026-03-31 21:21:49,fe339806-9e6e-4865-8987-4e695ea201b0,88.95,18.5,0.2069,0.9246,0.6058,0.118,382
2026-03-31 21:25:49,fe339806-9e6e-4865-8987-4e695ea201b0,87.84,20.27,0.2055,0.7945,0.6427,0.1329,382
2026-03-31 21:37:45,fe339806-9e6e-4865-8987-4e695ea201b0,100.5,21.37,0.2229,0.5401,0.4995,0.1358,382
2026-03-31 22:22:58,fe339806-9e6e-4865-8987-4e695ea201b0,68.17,9.96,0.2073,0.7456,0.6794,0.0449,382
2026-03-31 22:42:33,fe339806-9e6e-4865-8987-4e695ea201b0,69.09,1.88,0.1925,0.9889,0.7111,0.0166,382
